method,group_id,recall@50,mrr,map,ndcg@50,tie_fraction
ensemble,BGC0000031,0.919727272727273,0.15017539719485348,0.7411025863339977,0.8888798891771007,0.1489769585253456
ensemble,BGC0000078,0.818,0.6068820022293949,0.7330735282683138,0.8061214379214666,0.14866820276497694
ensemble,BGC0000171,0.9816923076923076,0.24303694409314006,0.9793465180770653,0.987298141605274,0.14486175115207373
ensemble,BGC0000175,0.5882352941176471,0.05908810405069089,0.9967556492057792,1.0,0.1484101382488479
ensemble,BGC0000469,1.0,0.75,1.0,1.0,0.1486635944700461
ensemble,BGC0001140,0.7575757575757575,0.07233980354911967,1.0,1.0,0.14750230414746543
ensemble,BGC0001441,0.746268656716418,0.07148287175188399,1.0,1.0,0.14681566820276498
ensemble,BGC0001574,0.9368181818181819,0.16329339318033642,0.9104241761473192,0.9501779764929623,0.1475299539170507
ensemble,BGC0001657,0.804,0.8055050505351374,0.8055050505351374,0.804,0.14747465437788018
ensemble,BGC0001700,1.0,0.1526282393608525,0.9997523190883191,0.9999508972154949,0.14331336405529954
ensemble,BGC0001945,0.8320000000000001,0.6664741345958849,0.83294826919177,0.8700174567691941,0.1500046082949309
ensemble,BGC0001952,1.0,0.25860088985088986,1.0,1.0,0.14822580645161293
ensemble,BGC0002061,0.9327272727272726,0.12494269077195633,0.42217721290854565,0.6579667619723535,0.14666820276497697
ensemble,BGC0002095,1.0,0.16966872006952755,0.5013385558373814,0.7482024057510827,0.14454377880184333
ensemble,BGC0002378,0.7128000000000001,0.38432020151151103,0.6818679182015506,0.7804686031390632,0.14816589861751153
ensemble,BGC0002625,1.0,0.2745343040797586,1.0,1.0,0.1469032258064516
pfam,BGC0000031,0.9194545454545455,0.1500235252107385,0.7383048118834251,0.8879563473556393,0.6791797235023042
pfam,BGC0000078,0.818,0.5672261444776897,0.6662737175268079,0.7587091158089961,0.7359032258064517
pfam,BGC0000171,1.0,0.2446256734718273,1.0,1.0,0.722700460829493
pfam,BGC0000175,0.5882352941176471,0.05907602634797636,0.9957274956776345,1.0,0.6185115207373272
pfam,BGC0000469,1.0,0.75,1.0,1.0,0.7583732718894011
pfam,BGC0001140,0.7575757575757575,0.0723398035491197,1.0,1.0,0.6712258064516129
pfam,BGC0001441,0.746268656716418,0.07148287175188403,1.0,1.0,0.7251751152073733
pfam,BGC0001574,0.9604181818181818,0.16390592497241593,0.922419017426171,0.9644049124570804,0.6482672811059909
pfam,BGC0001657,0.804,0.8046125000000002,0.8046125000000002,0.804,0.7120829493087557
pfam,BGC0001700,1.0,0.15263832711014028,1.0,1.0,0.7115253456221198
pfam,BGC0001945,0.8320000000000001,0.6664240211983561,0.8328480423967122,0.8700174567691941,0.6522304147465438
pfam,BGC0001952,1.0,0.25860088985088986,1.0,1.0,0.7192764976958526
pfam,BGC0002061,0.9327272727272726,0.12393992373046339,0.42110274011052373,0.6562777521201395,0.7285668202764978
pfam,BGC0002095,1.0,0.16963280910591622,0.5057455790168428,0.7491114065818113,0.732188940092166
pfam,BGC0002378,0.7028,0.3839308487174524,0.6804319804401737,0.7768694550840994,0.7276221198156683
pfam,BGC0002625,1.0,0.2745343040797586,1.0,1.0,0.734294930875576
raw_esm_mean,BGC0000031,0.41018181818181826,0.11057398690495832,0.36821505988118586,0.5016032916631561,0.17474193548387099
raw_esm_mean,BGC0000078,0.975,0.36588451529495175,0.4562809353518082,0.6223328152169477,0.16033179723502305
raw_esm_mean,BGC0000171,0.8149230769230769,0.22572403164881677,0.8150833289070517,0.867536611345835,0.17427188940092167
raw_esm_mean,BGC0000175,0.5882352941176471,0.058908644086780516,0.9816198753823075,1.0,0.18076036866359443
raw_esm_mean,BGC0000469,0.762,0.465217820339012,0.525052068823522,0.6428843361764389,0.16552534562211982
raw_esm_mean,BGC0001140,0.7574848484848483,0.07196959291478437,0.9759234374489678,0.9998990509112087,0.18025806451612905
raw_esm_mean,BGC0001441,0.7457014925373134,0.07093185261867632,0.9644189113735869,0.9994042889193568,0.17429953917050695
raw_esm_mean,BGC0001574,0.7807272727272727,0.15380201433737598,0.7738550905503285,0.8394265965728721,0.17376958525345623
raw_esm_mean,BGC0001657,0.608,0.6104216498693542,0.6104216498693542,0.608,0.16570506912442398
raw_esm_mean,BGC0001700,0.9316800000000001,0.15001207535396183,0.9355192301194688,0.9550585098192826,0.167926267281106
raw_esm_mean,BGC0001945,0.8320000000000001,0.6605514781795859,0.8211029563591719,0.8639162367444563,0.1720967741935484
raw_esm_mean,BGC0001952,0.966,0.2556037693717758,0.9640345542506316,0.9769951838631655,0.17652534562211983
raw_esm_mean,BGC0002061,0.8687272727272728,0.13303171202164082,0.42659836586798894,0.6502212770828846,0.173073732718894
raw_esm_mean,BGC0002095,1.0,0.17077653474120194,0.502345584687214,0.7491250612801728,0.17019815668202765
raw_esm_mean,BGC0002378,0.6732,0.3020662577191394,0.4833521529969399,0.649343507875561,0.17497235023041474
raw_esm_mean,BGC0002625,1.0,0.27440121980624366,0.9985360729913362,0.9996319826782287,0.17187557603686637
setnet,BGC0000031,0.5446363636363636,0.10914616524200338,0.41503950743449297,0.5662744476604824,0.14901843317972352
setnet,BGC0000078,0.79,0.3998023358427648,0.4760231968242021,0.5987276878043006,0.14866820276497694
setnet,BGC0000171,0.9416923076923078,0.2401068789068111,0.9417329285889926,0.9621883937773206,0.14488479262672813
setnet,BGC0000175,0.5882352941176471,0.05901672307516583,0.9907671811492003,1.0,0.1484654377880184
setnet,BGC0000469,0.96,0.6670687449524804,0.8441374899049606,0.9059778657799754,0.1486635944700461
setnet,BGC0001140,0.7575757575757575,0.07230553610369081,0.9977559991576648,1.0,0.14753917050691243
setnet,BGC0001441,0.746268656716418,0.07142834328905404,0.9963589774905822,1.0,0.14684331797235023
setnet,BGC0001574,0.8639090909090908,0.15862353082467,0.8319274621359373,0.8956594122833138,0.1475668202764977
setnet,BGC0001657,0.924,0.7398219196964195,0.7398219196964195,0.7731208932434454,0.14747465437788018
setnet,BGC0001700,0.97008,0.15127199195445065,0.9667337994437599,0.978509173246356,0.14333179723502304
setnet,BGC0001945,0.8320000000000001,0.6584622933072732,0.8219245866145464,0.8618080285187173,0.1500046082949309
setnet,BGC0001952,1.0,0.2585892476940271,0.9998602941176472,0.9999660540374766,0.14824423963133643
setnet,BGC0002061,0.9074545454545454,0.1511446338316575,0.46748135812211,0.698733502039106,0.1467004608294931
setnet,BGC0002095,1.0,0.14049708185420345,0.44201061565969135,0.6928948150777681,0.14455299539170507
setnet,BGC0002378,0.73,0.3051390979660723,0.5020571383649091,0.6686054609083656,0.14817511520737328
setnet,BGC0002625,1.0,0.2745343040797586,1.0,1.0,0.14691244239631335
weighted_pfam,BGC0000031,0.919727272727273,0.15002396801454193,0.738270664623429,0.8881024401561053,0.5066866359447004
weighted_pfam,BGC0000078,0.818,0.5673398554793316,0.6664680707470232,0.7589394482198054,0.5145898617511521
weighted_pfam,BGC0000171,1.0,0.2446256734718273,1.0,1.0,0.5110829493087556
weighted_pfam,BGC0000175,0.5882352941176471,0.05907612578373189,0.9957358561380459,1.0,0.5051935483870968
weighted_pfam,BGC0000469,1.0,0.75,1.0,1.0,0.5191797235023042
weighted_pfam,BGC0001140,0.7575757575757575,0.0723398035491197,1.0,1.0,0.513520737327189
weighted_pfam,BGC0001441,0.746268656716418,0.07148287175188403,1.0,1.0,0.5232534562211981
weighted_pfam,BGC0001574,0.9606363636363635,0.1639056147903682,0.9224127490653254,0.96452101167898,0.5084331797235022
weighted_pfam,BGC0001657,0.804,0.8046125000000002,0.8046125000000002,0.804,0.5105806451612904
weighted_pfam,BGC0001700,1.0,0.15263832711014028,1.0,1.0,0.5134470046082948
weighted_pfam,BGC0001945,0.8320000000000001,0.6664233875836727,0.8328467751673454,0.8700174567691941,0.5037142857142858
weighted_pfam,BGC0001952,1.0,0.25860088985088986,1.0,1.0,0.5109907834101383
weighted_pfam,BGC0002061,0.9327272727272726,0.12308009717030148,0.42048059159581486,0.6549484684765213,0.516668202764977
weighted_pfam,BGC0002095,1.0,0.1680328770640159,0.5013598822400788,0.7458861587826437,0.5153041474654377
weighted_pfam,BGC0002378,0.7028,0.38397477665296637,0.680645754307993,0.7768632694192221,0.5125115207373272
weighted_pfam,BGC0002625,1.0,0.2745343040797586,1.0,1.0,0.5091152073732719
