method,group_id,seed,recall@50,mrr,map,ndcg@50,tie_fraction
pfam,BGC0000031,20260810,0.9272727272727274,0.14907833030403528,0.7342909300109831,0.8888558836507595,0.6779032258064517
pfam,BGC0000078,20260810,0.79,0.5578427423656414,0.6542569133027111,0.7430867618090964,0.7344239631336406
pfam,BGC0000171,20260810,1.0,0.2446256734718273,1.0,1.0,0.7226497695852535
pfam,BGC0000175,20260810,0.5882352941176471,0.05907650340824973,0.9957679009388359,1.0,0.6192626728110601
pfam,BGC0000469,20260810,1.0,0.75,1.0,1.0,0.7570737327188941
pfam,BGC0001140,20260810,0.7575757575757575,0.0723398035491197,1.0,1.0,0.6722811059907834
pfam,BGC0001441,20260810,0.746268656716418,0.07148287175188403,1.0,1.0,0.726589861751152
pfam,BGC0001574,20260810,0.9597045454545454,0.1642700189217952,0.929113692259776,0.9657052052025518,0.648410138248848
pfam,BGC0001657,20260810,0.78,0.7806875,0.7806875,0.78,0.712857142857143
pfam,BGC0001700,20260810,1.0,0.15263832711014028,1.0,1.0,0.7121198156682027
pfam,BGC0001945,20260810,0.865,0.6828380028939306,0.8656760057878609,0.8955497420466737,0.651958525345622
pfam,BGC0001952,20260810,1.0,0.25860088985088986,1.0,1.0,0.7189631336405529
pfam,BGC0002061,20260810,0.9327272727272726,0.12366360508905785,0.4192947130849944,0.6553901641878451,0.7278571428571429
pfam,BGC0002095,20260810,1.0,0.16972768972293584,0.5061359519977779,0.7494279273785629,0.7329723502304148
pfam,BGC0002378,20260810,0.7,0.3834953331643595,0.6790006620675371,0.7750979825022887,0.7288479262672811
pfam,BGC0002625,20260810,1.0,0.2745343040797586,1.0,1.0,0.7350691244239631
raw_esm_mean,BGC0000031,20260810,0.4,0.10848216767537706,0.36111138580008295,0.4901937767787423,0.17338709677419356
raw_esm_mean,BGC0000078,20260810,0.96,0.3287930611450535,0.40960993181391664,0.5808228590960076,0.16066820276497698
raw_esm_mean,BGC0000171,20260810,0.8023076923076924,0.22442733484580304,0.8040900399457154,0.8584959227476062,0.1733640552995392
raw_esm_mean,BGC0000175,20260810,0.5882352941176471,0.058911397448230374,0.9818485511133496,1.0,0.1811290322580645
raw_esm_mean,BGC0000469,20260810,0.725,0.4689204743961239,0.5260818551726889,0.6378617249316033,0.1656221198156682
raw_esm_mean,BGC0001140,20260810,0.7571212121212122,0.07195055553828536,0.9750505784079906,0.9994952545560436,0.18138248847926267
raw_esm_mean,BGC0001441,20260810,0.746268656716418,0.07096617009112814,0.9661089420356409,1.0,0.17511520737327188
raw_esm_mean,BGC0001574,20260810,0.7940909090909091,0.15526764212577734,0.7900551753779037,0.8507339704566319,0.17338709677419356
raw_esm_mean,BGC0001657,20260810,0.59,0.5925054124673386,0.5925054124673386,0.59,0.16576036866359448
raw_esm_mean,BGC0001700,20260810,0.9304,0.1499680633589154,0.9344231811295832,0.954238436961606,0.1678110599078341
raw_esm_mean,BGC0001945,20260810,0.865,0.6765341083486801,0.8530682166973604,0.8891274051785288,0.17066820276497696
raw_esm_mean,BGC0001952,20260810,0.9691666666666668,0.2557183824816168,0.965409911568724,0.9786542829816964,0.17682027649769586
raw_esm_mean,BGC0002061,20260810,0.8645454545454545,0.1341145239125424,0.4278743288606828,0.6504160972775846,0.17345622119815668
raw_esm_mean,BGC0002095,20260810,1.0,0.1752164398842123,0.5105624529136678,0.7567538196891622,0.16951612903225807
raw_esm_mean,BGC0002378,20260810,0.6859999999999999,0.3029901540248173,0.4865432653970153,0.6549180470030578,0.17552995391705067
raw_esm_mean,BGC0002625,20260810,1.0,0.2744116018218889,0.9986502751634332,0.9996542435205532,0.1720046082949309
setnet,BGC0000031,20260810,0.4068181818181818,0.1072892249118646,0.3517584776447513,0.4900590354278049,0.1492626728110599
setnet,BGC0000078,20260810,0.645,0.5117312283077069,0.5955886248397128,0.6681791805997654,0.14963133640552995
setnet,BGC0000171,20260810,0.9446153846153846,0.2405200219438444,0.9466265301362224,0.9646883483419524,0.14463133640552994
setnet,BGC0000175,20260810,0.5882352941176471,0.05889934932222024,0.9809153958859794,1.0,0.1488479262672811
setnet,BGC0000469,20260810,1.0,0.6406666666666666,0.8013333333333332,0.8928864201091189,0.1490783410138249
setnet,BGC0001140,20260810,0.7575757575757575,0.07233763964939811,0.9998573592094624,1.0,0.1471658986175115
setnet,BGC0001441,20260810,0.746268656716418,0.07148248243230636,0.9999739155882988,1.0,0.14797235023041475
setnet,BGC0001574,20260810,0.9604545454545454,0.16316559289336058,0.9090354814304338,0.9607411790156206,0.14548387096774193
setnet,BGC0001657,20260810,1.0,0.6591228070175439,0.6591228070175439,0.7266240790937114,0.1470967741935484
setnet,BGC0001700,20260810,0.94,0.15048791564746936,0.9472978776798271,0.9602077445911804,0.1450230414746544
setnet,BGC0001945,20260810,0.865,0.6828151773777307,0.8656303547554614,0.8955497420466737,0.15156682027649768
setnet,BGC0001952,20260810,1.0,0.2585426790665761,0.9993014705882354,0.9998302701873834,0.14608294930875576
setnet,BGC0002061,20260810,0.9318181818181818,0.14609473590286326,0.4646181860890439,0.6975949565406186,0.14511520737327188
setnet,BGC0002095,20260810,1.0,0.1815162875392432,0.5157440656632893,0.7683022979738984,0.1432258064516129
setnet,BGC0002378,20260810,0.8460000000000001,0.3227419797983911,0.5334433091971746,0.7308937841540333,0.1460599078341014
setnet,BGC0002625,20260810,1.0,0.2745343040797586,1.0,1.0,0.14599078341013827
pfam,BGC0000031,20260811,0.911818181818182,0.14663141566061813,0.711429726151807,0.8726221425298689,0.6778801843317973
pfam,BGC0000078,20260811,0.81,0.5440502973038137,0.6363148803219132,0.7327918575214671,0.7371889400921658
pfam,BGC0000171,20260811,1.0,0.2446256734718273,1.0,1.0,0.7226728110599078
pfam,BGC0000175,20260811,0.5882352941176471,0.059075695025965325,0.9956997799127508,1.0,0.6193317972350231
pfam,BGC0000469,20260811,1.0,0.75,1.0,1.0,0.7578571428571429
pfam,BGC0001140,20260811,0.7575757575757575,0.0723398035491197,1.0,1.0,0.6700230414746544
pfam,BGC0001441,20260811,0.746268656716418,0.07148287175188403,1.0,1.0,0.7238940092165899
pfam,BGC0001574,20260811,0.9613636363636364,0.1639620626591847,0.923520843120044,0.9651301149400319,0.6494239631336406
pfam,BGC0001657,20260811,0.86,0.8604375000000001,0.8604375000000001,0.86,0.7100691244239631
pfam,BGC0001700,20260811,1.0,0.15263832711014028,1.0,1.0,0.7103917050691244
pfam,BGC0001945,20260811,0.785,0.6430384007568741,0.7860768015137483,0.8336532928891471,0.6520046082949308
pfam,BGC0001952,20260811,1.0,0.25860088985088986,1.0,1.0,0.7195622119815668
pfam,BGC0002061,20260811,0.9327272727272726,0.12117528892678435,0.4170481962269855,0.6511093830598614,0.7297004608294931
pfam,BGC0002095,20260811,1.0,0.16820550158565514,0.5037930598250253,0.7466383285008387,0.7331797235023042
pfam,BGC0002378,20260811,0.71,0.38638083870628137,0.6894044818972143,0.7835984897841545,0.7255760368663594
pfam,BGC0002625,20260811,1.0,0.2745343040797586,1.0,1.0,0.7335023041474655
raw_esm_mean,BGC0000031,20260811,0.4063636363636363,0.10771240448873264,0.3625766232678194,0.4918136308391755,0.17483870967741935
raw_esm_mean,BGC0000078,20260811,0.995,0.4106316283337157,0.5121561138102884,0.6727136492747431,0.16039170506912442
raw_esm_mean,BGC0000171,20260811,0.8184615384615386,0.22544850650913456,0.8183909432007915,0.8687811335251032,0.17396313364055302
