ci_lower,ci_upper,groups,mean,method,metric
0.7114741552569833,0.8701801393926346,16,0.7946163172312031,raw_esm_mean,recall@50
0.17114057284415515,0.34805151701614906,16,0.2549923222005162,raw_esm_mean,mrr
0.6133480038127189,0.8368943392658126,16,0.725147454678804,raw_esm_mean,map
0.7243305290229708,0.88921442117721,16,0.8078361718843479,raw_esm_mean,ndcg@50
0.7763317418588874,0.911850163170163,16,0.8472407510063832,setnet,recall@50
0.1804223318801365,0.3905295091888113,16,0.2785599267887814,setnet,mrr
0.6606300383786534,0.884437856877293,16,0.7771020284190697,setnet,map
0.7718522336424245,0.9225093394426486,16,0.8501541083985393,setnet,ndcg@50
0.8147734033459042,0.9377671887720489,16,0.878842481775614,pfam,recall@50
0.19519605283001115,0.43240000572458087,16,0.3070620995984143,pfam,mrr
0.7515426933974679,0.9340815496474294,16,0.8479666177798932,pfam,map
0.8455109442349253,0.9575565230389055,16,0.90420915288606,pfam,ndcg@50
0.8134301052378994,0.9360196377519538,16,0.8768652964609287,ensemble,recall@50
0.1968477339371479,0.43537683885994144,16,0.3095607966765586,ensemble,mrr
0.7561482886964583,0.9336019266985083,16,0.8502682364871987,ensemble,map
0.849382326589742,0.9572466546161232,16,0.9058177231277496,ensemble,ndcg@50
0.8143248691119935,0.9387341963478063,16,0.8788731635937957,weighted_pfam,recall@50
0.19454382173413776,0.4360294643139543,16,0.3069181920220344,weighted_pfam,mrr
0.7494550229965959,0.9334428768606032,16,0.847677052742816,weighted_pfam,map
0.8457841475858738,0.9576432498055504,16,0.9039548908439046,weighted_pfam,ndcg@50
